time,x,x_dot,input
0,4.9,-2.2,3
0.1,4.67551199751488,-2.28614503952954,2.99760031998293
0.2,4.44347392408808,-2.35070732026284,2.99040511890786
0.3,4.20604700149056,-2.39401288658066,2.9784259075616
0.4,3.96535314433227,-2.41656146583152,2.96168185012688
0.5,3.72342690714912,-2.41902905230969,2.94019973352373
0.6,3.48221548440298,-2.40226790725516,2.91401392455609
0.7,3.24342786398541,-2.36728058678834,2.88316631493231
0.8,3.00883252375293,-2.31521315857308,2.84770625424732
0.9,2.7802525993294,-2.24732641629547,2.8076904710338
1,2.55931419469894,-2.16496257353717,2.76318298200866
1.1,2.34744638220584,-2.06954526377535,2.71425498965989
1.2,2.14588120255459,-1.96257954038277,2.66098476833785
1.3,1.95565366480988,-1.84565187662771,2.60345753903295
1.4,1.77760174639661,-1.72043016567399,2.54176533304025
1.5,1.61236639309989,-1.58866372058099,2.47600684472903
1.6,1.46039217662684,-1.45218068385478,2.40628727365288
1.7,1.32205981170194,-1.31254009852183,2.33271815625278
1.8,1.19769707969863,-1.17136218072834,2.25541718742268
1.9,1.08743150898428,-1.0304015490001,2.17450803222272
2,0.991218803491555,-0.89131050589997,2.0901201280415
2.1,0.908842842718485,-0.755639038027885,2.00238847752392
2.2,0.839915681728421,-0.624834816020838,1.91145343259574
2.3,0.783877551150049,-0.500243194552887,1.81746046993039
2.4,0.739996857177388,-0.383107212335164,1.72055995821737
2.5,0.707370181569795,-0.274567592115861,1.62090691760442
2.6,0.684977591994266,-0.175665089589819,1.51866077169834
2.7,0.67194190671903,-0.0873634828249664,1.41398509252122
2.8,0.667156116766545,-0.0105078592985071,1.30704733883014
2.9,0.669434113168645,0.0542112809822067,1.19801858821882
3,0.677546757735605,0.106258627093434,1.08707326343002
3.1,0.690221883056149,0.145254057195049,0.974388853316328
3.2,0.706144347776162,0.170972613168928,0.860145628895866
3.3,0.724000334309628,0.183310522983831,0.744526354957118
3.4,0.74242934930421,0.182277763260805,0.627715997674257
3.5,0.76006508969746,0.168031887603903,0.509901428700722
3.6,0.775596640043944,0.140863702535771,0.391271126214436
3.7,0.787768472515244,0.101197267497648,0.272014873392928
3.8,0.795380446899953,0.0495898948493654,0.152323454800737
3.9,0.79729953162076,-0.0132818155105401,0.0323883511748015
4,0.792462679444458,-0.0866759513053672,-0.0875985669038664
4.1,0.77979577081573,-0.169703279610095,-0.207445345962187
4.2,0.758340817026079,-0.261401720278804,-0.326960256719614
4.3,0.727269942414546,-0.360747927713855,-0.445952100814091
4.4,0.685885384367712,-0.466657290865892,-0.564230516678641
4.5,0.633619493319702,-0.577983933233837,-0.681606284079261
4.6,0.570034732752177,-0.693520712864897,-0.797891626826942
4.7,0.494800199274041,-0.812064601584783,-0.9129005131795
4.8,0.407644133647969,-0.932371320623927,-1.0264489534527
4.9,0.308421867017794,-1.05312643660983,-1.13835529436446
5,0.197126967202753,-1.17305490708795,-1.24844050964143
