time,x,x_dot,input
0,2.4,0.7,5
0.1,2.42614905475803,-0.17217000508154,5.27577192265502
0.2,2.3687730352804,-0.949239734230555,5.54218099009004
0.3,2.2431313254874,-1.52304989276426,5.79788277865373
0.4,2.07273935040768,-1.84131905500808,6.04155901113459
0.5,1.88327174593009,-1.90851698732329,6.27192411902801
0.6,1.69800382520711,-1.76628595030144,6.48773168649843
0.7,1.53518060545198,-1.46953591138058,6.68778074423849
0.8,1.40739769350046,-1.07151957846873,6.87092188209574
0.9,1.3227941241367,-0.614773429266486,7.03606315015875
1,1.28524440699837,-0.134451541241164,7.18217571896519
1.1,1.29556604877535,0.342515448067761,7.30829927060924
1.2,1.3525915849387,0.790333803241564,7.41354709377986
1.3,1.45204486904459,1.18297207514245,7.49711085714805
1.4,1.58674769186412,1.49357278391803,7.55826503703496
1.5,1.74696097090717,1.6882933506854,7.59637097692446
1.6,1.91938445236147,1.73379462548351,7.61088055812748
1.7,2.08828523600498,1.60346832850971,7.60133946275131
1.8,2.23493896623169,1.29180739078868,7.56739001206654
1.9,2.34124705836366,0.823486872639585,7.5087735653887
2,2.39512230997167,0.24867272654743,7.42533246668967
2.1,2.39001286323687,-0.347799058236231,7.31701152831686
2.2,2.32791684016665,-0.874082443641925,7.18385904341482
2.3,2.21970063248595,-1.26385657681609,7.02602732090287
2.4,2.08083232439715,-1.48449502133072,6.84377273915459
2.5,1.92825890641595,-1.54074408994141,6.63745531683645
2.6,1.77727918770092,-1.45934192043451,6.40753780168572
2.7,1.63969055716133,-1.27882638895596,6.15458428032722
2.8,1.52348775181432,-1.03713215950946,5.87925831453623
2.9,1.43322280873472,-0.767126423901967,5.5823206116376
3,1.37015098286604,-0.4957525071477,5.26462623897886
3.1,1.33341636609876,-0.242864508628866,4.92712139461631
3.2,1.32044587340595,-0.0238607454632673,4.57083974849746
3.3,1.32720771149325,0.150298722617351,4.19689837049975
3.4,1.34876602217978,0.271316781481949,3.80649326368484
3.5,1.37949563584069,0.333682243398602,3.40089452303922
3.6,1.41347349801088,0.334919683356034,2.98144114178705
3.7,1.44457504484201,0.276001542674914,2.54953548907065
