time,x,x_dot,input
0,2.4,2.4,2.34759767898757e-35
0.1,2.52571874586082,0.0825831717764887,4.38041093615327e-35
0.2,2.42041093237053,-2.12050097332188,8.15305367419823e-35
0.3,2.12251799912191,-3.70976601733288,1.51370070121648e-34
0.4,1.70414861080521,-4.53846975657911,2.80332846315192e-34
0.5,1.23477607067665,-4.77254540721144,5.17871754810418e-34
0.6,0.760633492078134,-4.67396580994887,9.54299567318408e-34
0.7,0.304185045442791,-4.44605961941371,1.7541288554828e-33
0.8,-0.127810893100398,-4.19062352262256,3.21627016731787e-33
0.9,-0.533809590328935,-3.92716121971523,5.88244419545492e-33
1,-0.9117116946008,-3.6148780933854,1.07319186783153e-32
1.1,-1.25276444097059,-3.18168555105851,1.95304025203836e-32
1.2,-1.54174399150683,-2.56276236238894,3.54535133421403e-32
1.3,-1.75836160241695,-1.72671530168703,6.41980190973806e-32
1.4,-1.88166117146101,-0.726345375417395,1.15957338862806e-31
1.5,-1.90155133472624,0.322171129902562,2.08924377227132e-31
1.6,-1.82101477230666,1.26334856423962,3.75486438624826e-31
1.7,-1.65644166409135,1.97954931473608,6.73152805434973e-31
1.8,-1.43373201143095,2.43088153246234,1.20378056591965e-30
1.9,-1.1781892540289,2.64551028016926,2.14731253396798e-30
2,-0.910369922865658,2.68859510990021,3.8208277057936e-30
2.1,-0.64392548844227,2.62721822195124,6.78162721966567e-30
2.2,-0.386632416460849,2.51345367516981,1.20067270000427e-29
2.3,-0.141899638828246,2.38033325903119,2.1204577454936e-29
2.4,0.0893270811751095,2.24238501101152,3.73550113794174e-29
2.5,0.306605836295056,2.10272383656005,6.56420880307702e-29
2.6,0.509592864209603,1.95467278049572,1.15061535442408e-28
2.7,0.696981444995794,1.78654931239499,2.01183429414035e-28
2.8,0.865848914391164,1.58541453467477,3.50887997133065e-28
2.9,1.01252780754798,1.34230150161575,6.10462627863828e-28
3,1.13269669669164,1.05291279363934,1.05940962675468e-27
3.1,1.22188041246249,0.72165021801204,1.8339310855176e-27
3.2,1.276280836681,0.364690924569316,3.1667689109153e-27
3.3,1.29447611162849,0.00322194447515112,5.45461367852241e-27
3.4,1.27746483275301,-0.338090298652594,9.37186201170898e-27
3.5,1.22838963985211,-0.636060700150989,1.60620893581072e-26
3.6,1.15224719506802,-0.875511975586601,2.74594891590893e-26
3.7,1.0553449989609,-1.0509372739017,4.68270860414241e-26
3.8,0.944063065588343,-1.16497719491093,7.96555566350483e-26
3.9,0.824143507947531,-1.22560026777316,1.35160342661921e-25
4,0.700361113989288,-1.24412614936752,2.2876877952604e-25
4.1,0.576351922115402,-1.23199422926583,3.86241104325644e-25
4.2,0.454648382590345,-1.19894528990266,6.50480809961956e-25
4.3,0.336976108570005,-1.15289251484573,1.09275990400005e-24
4.4,0.224320339225737,-1.09972737015823,1.83117258427769e-24
4.5,0.117175674520547,-1.04303204595767,3.06089243262356e-24
4.6,0.0157500670249404,-0.984786525807753,5.10365279715305e-24
4.7,-0.0798223370543523,-0.926061185307806,8.48845086720957e-24
4.8,-0.169467720254038,-0.867035981935625,1.40828327213812e-23
4.9,-0.253170656958944,-0.80702980616512,2.33058993169318e-23
5,-0.330838769508829,-0.745218134223124,3.84729931335321e-23
5.1,-0.402181843682452,-0.680723383324395,6.33520026091126e-23
5.2,-0.466875245806323,-0.61283297041719,1.04058841010141e-22
5.3,-0.524577238716521,-0.541147670691581,1.70495093314003e-22
5.4,-0.574928981758687,-0.465581617579457,2.78650001136035e-22
5.5,-0.617555567273782,-0.386361505804961,4.54276715598833e-22
5.6,-0.652129854844973,-0.304155464281599,7.38747746352132e-22
5.7,-0.678390818088201,-0.220376395422654,1.19835674492754e-21
5.8,-0.696231836414313,-0.136627721077449,1.93905596587348e-21
5.9,-0.705741684082328,-0.0545693162577753,3.12974408463005e-21
6,-0.707204530199437,0.0240824908621118,5.03896769715e-21
6.1,-0.701058493811712,0.0976287431529105,8.09260951081469e-21
6.2,-0.687882148251299,0.164595054294099,1.29643235055019e-20
