time,x,x_dot,input
0,4.4,-4.4,0
0.1,3.9453783255209,-4.68449777377041,0.01
0.2,3.46470606994758,-4.91968931320783,0.04
0.3,2.96311933567718,-5.10245909652369,0.09
0.4,2.44603520047661,-5.23021205342792,0.16
0.5,1.91903255707776,-5.3009263146173,0.25
0.6,1.38785211317743,-5.31315321177545,0.36
0.7,0.858124289223098,-5.26601354088319,0.49
0.8,0.335903392258081,-5.15911323698177,0.64
0.9,-0.17249473695081,-4.9925563612084,0.81
1,-0.660997001700143,-4.76697380153061,1
1.1,-1.12377304934986,-4.48352327274632,1.21
1.2,-1.55523527132328,-4.14388931648378,1.44
1.3,-1.9500388031071,-3.75028330120161,1.69
1.4,-2.30308152425139,-3.30544342218876,1.96
1.5,-2.60950726763202,-2.81233524107346,2.25
1.6,-2.864474111744,-2.27420359132648,2.56
1.7,-3.06343925169306,-1.69487939378949,2.89
1.8,-3.20238435797167,-1.07838461457433,3.24
1.9,-3.27781604782657,-0.428930488641461,3.61
2,-3.28676588525876,0.249082480199962,4
2.1,-3.22679038102348,0.951064519292121,4.41
2.2,-3.09590506949785,1.67245452424613,4.84
2.3,-2.89228216675074,2.40838169577422,5.29
2.4,-2.61452501189282,3.1537090234557,5.76
2.5,-2.26180300189719,3.90347858954188,6.25
2.6,-1.83385163498147,4.65291211483625,6.76
2.7,-1.33097251060778,5.39741095869446,7.29
2.8,-0.754033329482763,6.13255611902431,7.84
2.9,-0.104451989365362,6.85412543965104,8.41
3,0.6162486738564,7.55825014508908,9
3.1,1.40619926515705,8.2406911199113,9.61
3.2,2.2630909092903,8.89744578345833,10.24
3.3,3.18427880403465,9.5249779404589,10.89
3.4,4.16678222019337,10.1202177810299,11.56
3.5,5.2072845015945,10.6805618806762,12.25
3.6,6.30213306509085,11.2038732002909,12.96
3.7,7.44733940056002,11.6884810861551,13.69
3.8,8.63887385229628,12.1331740043469,14.44
3.9,9.87296565338845,12.5367248795342,15.21
4,11.1452169294112,12.8979594887103,16
4.1,12.4512675727277,13.2161858281166,16.81
4.2,13.7868283539959,13.4912034019467,17.64
4.3,15.1476809221692,13.7233032223468,18.49
4.4,16.5296778044955,13.913267809415,19.36
4.5,17.9287424065181,14.062371191202,20.25
4.6,19.3408690120752,14.1723789037104,21.16
4.7,20.7621301966486,14.2455426455619,22.09
4.8,22.1893373824797,14.2839154485069,23.04
4.9,23.6190974612588,14.2895404771142,24.01
5,25.0478827181655,14.264896150444,25
5.1,26.4725585630234,14.2126442238427,26.01
5.2,27.8903835302995,14.1356297889438,27.04
5.3,29.2990092791045,14.036881273667,28.09
5.4,30.6964805931925,13.9196104422186,29.16
5.5,32.0812353809614,13.7872123950918,30.25
5.6,33.4521046754526,13.6432655690662,31.36
5.7,34.808312634351,13.4915317372079,32.49
5.8,36.1494765008242,13.3359549269366,33.64
5.9,37.4754928138984,13.1794414047494,34.81
6,38.7863568273168,13.0249005564853,36
6.1,40.0823472275518,12.8760252782582,37.21
6.2,41.3640440699775,12.7362535814367,38.44
6.3,42.6323287788704,12.608768592643,39.69
6.4,43.8883841474086,12.4964985537538,40.96
6.5,45.1336943376725,12.4021168218999,42.25
6.6,46.3700448806443,12.328041869466,43.56
6.7,47.5995226762083,12.2764372840914,44.89
6.8,48.8245159931507,12.249211768669,46.24
6.9,50.0477144691598,12.2480191413463,47.61
7,51.2721091108258,12.2742583355248,49
7.1,52.5009922936409,12.32907339986,50.41
7.2,53.7374983414794,12.4133209228304,51.84
7.3,54.9830691775125,12.5275322157931,53.29
7.4,56.2411518100903,12.6722066902931,54.76
7.5,57.5153500680307,12.8475834653566,56.25
7.6,58.809076323397,13.0536101607283,57.76
7.7,60.1255514914974,13.2899428968717,59.29
7.8,61.4678050308859,13.5559462949691,60.84
7.9,62.8386749433614,13.8506934769215,62.41
8,64.2408077739682,14.1729660653485,64
8.1,65.6766586109957,14.5212541835886,65.61
8.2,67.1484910859789,14.8937564556989,67.24
8.3,68.6583773736977,15.2883800064552,68.89
8.4,70.2081981921777,15.7027404613522,70.56
8.5,71.7993372302724,16.1350507051367,72.25
8.6,73.4333997943599,16.5839419277759,73.96
8.7,75.1125841266788,17.0466746017602,75.69
8.8,76.8387015520903,17.5205564411366,77.44
8.9,78.6131660362516,18.0029628369937,79.21
9,80.436994185616,18.491336857462,81
9.1,82.310805247433,18.9831892477141,82.81
9.2,84.2348211097481,19.4760984299639,84.64
9.3,86.2088663014029,19.9677105034674,86.49
9.4,88.2323679920353,20.4557392445225,88.36
9.5,90.3043559920792,20.9379661064688,90.25
9.6,92.4234627527645,21.4122402196877,92.16
9.7,94.5905086295629,21.8926256129214,94.09
9.8,96.8163217911135,22.4347678495309,96.04
9.9,99.0951863677691,22.9701875439853,98.01
10,101.416799314631,23.4249645419022,100
10.1,103.768791067215,23.7384054866447,99.8
10.2,106.13672554145,23.8630438193214,99.6
10.3,108.504100133677,23.7646397787863,99.4
10.4,110.852345720655,23.422180401639,99.2
