time,x,x_dot,input
0,-3.4,-2.4,0
0.1,-3.62207253054156,-2.03932167724441,0
0.2,-3.80750984095683,-1.66759931908106,0
0.3,-3.95537650962739,-1.28839032616803,0
0.4,-4.06507920188442,-0.905251716397963,0
0.5,-4.13639532442002,-0.521658880207467,0
0.6,-4.1694730252873,-0.14100558057713,0
0.7,-4.16480175252204,0.233504782678473,0
0.8,-4.12316526417325,0.598611319460108,0
0.9,-4.04564536716104,0.95109492429279,0
1,-3.93360938550753,1.28800272148897,0
1.1,-3.78871016033683,1.60664806514852,0
1.2,-3.61288604987504,1.90461053915878,0
1.3,-3.40836092945027,2.17973595719447,0
1.4,-3.17760795737832,2.43013791959553,0
1.5,-2.92306446019169,2.65410876807959,0
1.6,-2.64753485974693,2.85004389522709,0
1.7,-2.35394770792091,3.01665257050886,0
1.8,-2.04527434911008,3.15298153498706,0
1.9,-1.7245289202305,3.25841500131515,0
2,-1.39476835071782,3.33267465373791,0
2.1,-1.05909236252725,3.37581964809145,0
2.2,-0.720569731611184,3.38820914158952,0
2.3,-0.382080942966745,3.37027096861379,0
2.4,-0.0468472692946758,3.32271595305917,0
2.5,0.282053928244597,3.24650669256921,0
2.6,0.601754102930842,3.14283854022125,0
2.7,0.909593522484007,3.01313960452644,0
2.8,1.20312126906423,2.85907074942973,0
2.9,1.48009523927185,2.68252559430989,0
3,1.73848214414738,2.48563051397946,0
3.1,1.97644832941107,2.27065318484498,0
3.2,2.19223262924383,2.03966703243203,0
3.3,2.38422738515497,1.7951072842574,0
3.4,2.55111748658942,1.53946320451404,0
3.5,2.69188422898523,1.27522599261658,0
3.6,2.80580531377354,1.00488878320139,0
3.7,2.89245484837858,0.730946646126492,0
3.8,2.95170334621769,0.455896586471647,0
3.9,2.98362506087874,0.182099350393057,0
4,2.98840465171561,-0.0880291849113202,0
4.1,2.96648920088593,-0.351993207902187,0
4.2,2.91855413981821,-0.607480581958229,0
4.3,2.84550309983289,-0.852363286584301,0
4.4,2.74846791214237,-1.08469741741142,0
4.5,2.62880860785101,-1.30272318619675,0
4.6,2.48811341795509,-1.50486492082365,0
4.7,2.32818134984598,-1.68972013487118,0
4.8,2.15073908558019,-1.85590783341436,0
4.9,1.95766061956549,-2.00227975944132,0
5,1.75102049976062,-2.12031423788965,10
5.1,1.57592265318377,-1.29161551200137,10
5.2,1.49044452780006,-0.419257896354672,10
5.3,1.49197419544543,0.446925926941355,10
5.4,1.5791168484646,1.29204188905074,10
5.5,1.74939926289076,2.10884240493777,10
5.6,1.99968250529968,2.89059567064828,10
5.7,2.32616358748747,3.63109998124089,10
5.8,2.72439812971278,4.32470444092879,10
5.9,3.18954555343619,4.96639101217252,10
6,3.71600715281594,5.5512197250999,10
6.1,4.29779463938448,6.07487195763971,10
6.2,4.9286546597242,6.53379698342465,10
6.3,5.60206879546744,6.92521197179126,10
6.4,6.31125356329652,7.24710198777996,10
6.5,7.04916041494371,7.49821999213507,10
6.6,7.8088505951314,7.67798869303964,10
6.7,8.58336878966426,7.78609940551204,10
6.8,9.36503079731648,7.82280016768163,10
6.9,10.1464671482162,7.78899460334637,10
7,10.9206492873351,7.68624038983877,10
7.1,11.6808895744882,7.51674925802594,10
7.2,12.4208412843337,7.28338699230956,10
7.3,13.1344986063734,6.98967343062586,10
7.4,13.8161966449526,6.63978246444565,10
7.5,14.4608718529515,6.2380092759152,10
7.6,15.0636492892599,5.78845537164781,10
7.7,15.6193999609261,5.29630089579774,10
7.8,16.1237002344664,4.7668672472292,10
7.9,16.5728522759991,4.20558902614782,10
8,16.9638840512451,3.61801403410064,10
8.1,17.2945493255274,3.00980327397615,10
8.2,17.5633276637716,2.3867309500042,10
8.3,17.7694244305053,1.75468446775613,10
8.4,17.9127633758781,1.11965120111823,10
8.5,17.9932661888545,0.486842881950294,10
8.6,18.0110850687145,-0.138110818593983,10
8.7,17.9671335788486,-0.749368574805077,10
8.8,17.8628677107314,-1.34152455494641,10
8.9,17.7002858839215,-1.90960842125439,10
9,17.4819289460616,-2.4490853299384,10
9.1,17.2108801728788,-2.9558559311808,10
9.2,16.8907652681839,-3.42625636913689,10
9.3,16.5257523638721,-3.85705828193495,10
9.4,16.1202330634864,-4.24530230915633,10
9.5,15.6781760924044,-4.58807603585707,10
9.6,15.2042070310882,-4.88321047123381,10
9.7,14.7031778086991,-5.12902190146172,10
9.8,14.1800884178124,-5.32429653783945,10
9.9,13.640029552237,-5.46829808232439,10
10,13.0852732926425,-5.91953464814858,-10
10.1,12.389807471876,-7.96292050949991,-10
10.2,11.4975839752566,-9.86093001868872,-10
10.3,10.4216905898797,-11.6336441789597,-10
10.4,9.17545778951504,-13.2675228628749,-10
10.5,7.77330808414539,-14.7507499198425,-10
10.6,6.23074357009274,-16.0732522728967,-10
10.7,4.56390818232798,-17.2269661643585,-10
10.8,2.78970157173743,-18.2053537701291,-10
10.9,0.926962523117782,-19.0023683478854,-10
11,-1.00553562755646,-19.6138939715238,-10
11.1,-2.98917897172569,-20.0378110157292,-10
11.2,-5.00551302824509,-20.2739961559754,-10
11.3,-7.0362427433848,-20.3243223685246,-10
11.4,-9.06323249082983,-20.1926589304278,-10
11.5,-11.0685408735942,-19.8848238549534,-10
11.6,-13.0354200663603,-19.4065473465362,-10
11.7,-14.94655816087,-18.7649999971483,-10
11.8,-16.785267133046,-17.9691643033755,-10
11.9,-18.5363028038784,-17.0290716627045,-10
12,-20.1858648394249,-15.9558023735231,-10
12.1,-21.7215967508114,-14.7614856351204,-10
12.2,-23.1325858942311,-13.4592995476866,-10
12.3,-24.4094230677185,-12.0632378752269,-10
12.4,-25.5439348563689,-10.5865746922488,-10
12.5,-26.5279325697586,-9.04468416740967,-10
12.6,-27.3548134355784,-7.45319294646399,-10
12.7,-28.0198149086258,-5.82744487980989,-10
12.8,-28.5200146708052,-4.18250102248885,-10
12.9,-28.854330631128,-2.53313963418579,-10
13,-29.0235209257124,-0.893856179229108,-10
13.1,-29.0301839177837,0.721136673409401,-10
13.2,-28.8784981006786,2.29806982856997,-10
13.3,-28.5720132603328,3.82430427293739,-10
13.4,-28.1162368681245,5.28647058337217,-10
13.5,-27.5181011629155,6.67215230007186,-10
13.6,-26.7855873561723,7.97024032628947,-10
13.7,-25.9277256319659,9.17093292833338,-10
13.8,-24.9545951469722,10.2657357355675,-10
13.9,-23.8773240304715,11.247461740411,-10
14,-22.7080765077191,12.1102297449353,-10
14.1,-21.4585364469886,12.848977872027,-10
14.2,-20.1413422738229,13.4590324735089,-10
14.3,-18.7700745701662,13.9370387896704,-10
14.4,-17.3581731665444,14.2810494348918,-10
14.5,-15.9189371420656,14.4905243976444,-10
14.6,-14.4655248244196,14.5663310404901,-10
14.7,-13.0109537898782,14.5107441000818,-10
14.8,-11.5681008632952,14.3274456871632,-10
14.9,-10.1488130513735,14.0208168610735,-10
15,-8.76495683632943,13.5955258151935,-10
15.1,-7.42933296838298,13.0577390308499,-10
15.2,-6.15360632219373,12.4143577000379,-10
15.3,-4.9482877883368,11.6730079865532,-10
15.4,-3.82273427330289,10.8420410259913,-10
15.5,-2.78514869949833,9.93053292574793,-10
15.6,-1.84258000524498,8.94828476501894,-10
15.7,-1.00092314478032,7.90582259480028,-10
15.8,-0.264963182590837,6.81432197753522,-10
15.9,0.360431884203125,5.68386452499189,-10
16,0.871338292443654,4.52518265793003,-10
16.1,1.26529989819346,3.34935751646709,-10
16.2,1.54105474076624,2.16719456935397,-10
16.3,1.69853504272674,0.989223613974853,-10
16.4,1.73886720989069,-0.17430122365256,-10
16.5,1.66420923523367,-1.31348137512188,-10
16.6,1.47731259025151,-2.41864565053578,-10
16.7,1.18205759745638,-3.48027807505043,-10
16.8,0.783171857481262,-4.48964872667364,-10
16.9,0.286203809057752,-5.43884108750642,-10
17,-0.30247727098397,-6.32075204374305,-10
17.1,-0.975689638903541,-7.12909526967293,-10
17.2,-1.72601055395063,-7.85845242915859,-10
